[2010-10-29 16:02:07,447] (DEBUG) process.py: 31:  ./yishan_hadoop.py -s /user/daogou/indexbuilder/data/current/auction/ -d /home/admin/admin/daogou_auction/runtimedatgou_auction/daogou_auction/ > hdfs2pangu2010-10-29-1288339327.log 2>&1
[2010-10-29 16:03:43,846] (DEBUG) process.py: 31:  ./yishan_hadoop.py -s /user/daogou/indexbuilder/data/current/auction/ -d /home/admin/admin/ > hdfs2pangu2010-10-29-1288339423.log 2>&1
[2010-10-29 16:07:23,355] (DEBUG) process.py: 31:  ./yishan_hadoop.py -s /user/daogou/indexbuilder/data/current/auction/ -d /home/admin/admin/ > hdfs2pangu2010-10-29-1288339643.log 2>&1
[2010-10-29 16:43:28,259] (DEBUG) process.py: 31:  ./yishan_hadoop.py -s /user/daogou/indexbuilder/data/current/news -d /home/admin/admin/ > hdfs2pangu2010-10-29-1288341808.log 2>&1
[2010-10-29 16:46:51,718] (DEBUG) process.py: 31:  ./yishan_hadoop.py -s /user/daogou/indexbuilder/data/current/news -d /home/admin/admin/ > hdfs2pangu2010-10-29-1288342011.log 2>&1
[2010-10-29 16:58:30,587] (DEBUG) process.py: 31:  ./yishan_hadoop.py -s /user/daogou/indexbuilder/data/current/news -d /home/admin/admin/ > hdfs2pangu2010-10-29-1288342710.log 2>&1
[2010-10-29 17:00:47,255] (DEBUG) process.py: 31:  ./yishan_hadoop.py -s /user/daogou/indexbuilder/data/current/news -d /home/admin/admin/ > hdfs2pangu2010-10-29-1288342847.log 2>&1
[2010-10-29 17:09:59,335] (DEBUG) process.py: 31:  ./yishan_hadoop.py -s /user/daogou/indexbuilder/data/current/news -d /home/admin/admin/ > hdfs2pangu2010-10-29-1288343399.log 2>&1
[2010-10-29 17:15:21,000] (DEBUG) process.py: 31:  ./yishan_hadoop.py -s /user/daogou/indexbuilder/data/current/news -d /home/admin/admin/ > hdfs2pangu2010-10-29-1288343720.log 2>&1
[2010-10-31 21:51:28,654] (INFO) builddetetor.py: 15:  hello
[2010-11-01 17:43:28,671] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e /home/admin/admin/.meta
[2010-11-01 17:43:30,911] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e /home/admin/admin/.coping
[2010-11-01 17:43:52,463] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e /home/admin/admin/.meta
[2010-11-01 17:43:54,722] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e /home/admin/admin/.coping
[2010-11-01 17:49:01,391] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
